"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","DAPR_ATTRIBUTES","MDPR","MDPR_ATTRIBUTES","MDSF","MDSF_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","SNWD","SNWD_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TOBS","TOBS_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT04","WT04_ATTRIBUTES","WT05","WT05_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT11","WT11_ATTRIBUTES"
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-02",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","57",",,0","19",",,0","20",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-03",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","51",",,0","19",",,0","18",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-04",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","46",",,0","18",",,0","20",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-05",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","49",",,0","16",",,0","17",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-06",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","46",",,0","17",",,0","24",",I,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-07",,,,,,,"0.01",",,0,0800",,,"0.0","T,,0,","45",",,0","28",",I,0","30",",I,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-08",,,,,,,"0.30",",,0,0800","0.0","P,,0,","0.0","P,,0,","39",",,0","34",",I,0","37",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-09",,,,,,,"0.02",",,0,0800","0.0","P,,0,","0.0","P,,0,","41",",,0","30",",,0","35",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-10",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","42",",,0","19",",,0","23",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-11",,,,,,,"0.00","T,,0,0800","0.0","P,,0,","0.0","P,,0,","38",",,0","18",",,0","19",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-12",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","38",",,0","17",",,0","22",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-13",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","42",",,0","17",",,0","18",",,0,0800",,,,,,,,,,,,
"USC00106891","PAYETTE, ID US","44.0763","-116.9312","655.3","1997-12-14",,,,,,,"0.00","P,,0,0800","0.0","P,,0,","0.0","P,,0,","40",",,0","17",",,0","32",",,0,0800",,,,,,,,,,,,
